State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
Minnesota,2009,280707,341389,48478,58464,4008282, 7.00 , 1.20 , 8.51 , 1.45 ,36031,47988,12152,15683,186708,19.29,6.50,25.70,8.39
Mississippi,2009,120318,172672,54967,76449,2187134, 5.50 , 2.51 , 7.89 , 3.49 ,70226,102903,31652,46087,762144,9.21,4.15,13.50,6.04
Missouri,2009,295976,403379,125026,155589,4557031, 6.49 , 2.74 , 8.85 , 3.41 ,85697,120001,39020,51311,476179,17.99,8.19,25.20,10.77
Montana,2009,37810,52239,14030,17635,753433, 5.01 , 1.86 , 6.93 , 2.34 ,437,694,201,294,4119,10.60,4.89,16.85,7.15
Nebraska,2009,56796,66124,17952,22426,1349320, 4.20 , 1.33 , 4.90 , 1.66 ,9017,10865,3867,5046,59758,15.09,6.47,18.18,8.44
Nevada,2009,78578,104077,42038,54520,1958047, 4.01 , 2.14 , 5.31 , 2.78 ,21585,28612,10582,14208,166409,12.97,6.35,17.19,8.53
New Hamp,2009,31509,39262,9764,12495,1035192, 3.04 , 0.94 , 3.79 , 1.20 ,2376,2806,637,815,12455,19.08,5.11,22.53,6.54
New Jersey,2009,428420,532056,134309,159691,6661599, 6.43 , 2.01 , 7.98 , 2.39 ,217672,268376,73789,89357,874189,24.89,8.44,30.70,10.22
New Mexico,2009,95090,123540,31352,37871,1495097, 6.36 , 2.09 , 8.26 , 2.53 ,8700,10536,3278,3830,37130,23.43,8.82,28.37,10.31
New York,2009,461282,632650,241913,300600,15118997, 3.05 , 1.60 , 4.18 , 1.98 ,224852,296737,140016,170088,2428965,9.25,5.76,12.21,7.00
North Carolina,2009,329730,412494,134195,174055,7107276, 4.63 , 1.88 , 5.80 , 2.44 ,163993,205865,71271,93057,1446888,11.33,4.92,14.22,6.43
North Dakota,2009,22597,27608,6969,8455,505115, 4.47 , 1.37 , 5.46 , 1.67 ,644,904,245,343,6071,10.62,4.04,14.90,5.65
Ohio,2009,586045,709810,235438,287044,8828466, 6.63 , 2.66 , 8.04 , 3.25 ,241578,291017,107633,132318,982964,24.57,10.94,29.60,13.46
Oklahoma,2009,219322,272685,73418,99815,2765891, 7.92 , 2.65 , 9.85 , 3.60 ,51160,65785,21016,29176,212965,24.02,9.86,30.89,13.69
Oregon,2009,132638,196776,48516,62919,2952847, 4.49 , 1.64 , 6.66 , 2.13 ,9282,14314,5046,6448,60342,15.38,8.36,23.72,10.68
Pennsylvania,2009,296132,487128,112565,163994,9831906, 3.01 , 1.14 , 4.95 , 1.66 ,77307,151462,39681,65122,953511,8.10,4.16,15.88,6.82
Rhode Island,2009,50468,72948,11484,15158,826446, 6.10 , 1.38 , 8.82 , 1.83 ,11497,16386,2910,3973,49974,23.00,5.82,32.79,7.95
South Carolina,2009,173750,225099,84892,109180,3480828, 4.99 , 2.43 , 6.46 , 3.13 ,94995,125350,48702,64564,932620,10.18,5.22,13.44,6.92
South Dakota,2009,42048,52664,17590,21024,613454, 6.85 , 2.86 , 8.58 , 3.42 ,702,1109,658,869,7529,9.33,8.74,14.73,11.54
Tennessee,2009,263301,354070,105497,132462,4805406, 5.47 , 2.19 , 7.36 , 2.75 ,114195,152098,49513,62489,743724,15.35,6.65,20.45,8.40
Texas,2009,1344608,1877358,481691,652940,17893823, 7.51 , 2.69 , 10.49 , 3.64 ,376536,534762,174017,236648,2156633,17.45,8.06,24.79,10.97
Utah,2009,61613,80598,26545,33078,1914665, 3.21 , 1.38 , 4.20 , 1.72 ,2793,3817,1482,1949,22014,12.69,6.73,17.34,8.85
Vermont,2009,29489,35161,14269,16489,495158, 5.95 , 2.88 , 7.10 , 3.33 ,622,997,425,650,5148,12.09,8.26,19.37,12.64
Virginia,2009,336239,437393,105560,143652,6037742, 5.56 , 1.74 , 7.24 , 2.37 ,185194,240068,56044,79658,1142537,16.20,4.90,21.01,6.97
Washington,2009,406723,446060,94311,112544,5093008, 7.98 , 1.85 , 8.75 , 2.20 ,55817,62531,17964,21499,201969,27.63,8.89,30.96,10.64
West Virginia,2009,29829,44944,15402,21769,1435005, 2.07 , 1.07 , 3.13 , 1.51 ,3318,4941,1976,2813,52034,6.37,3.79,9.49,5.40
Wisconsin,2009,162089,228979,63923,87076,4348606, 3.72 , 1.46 , 5.26 , 2.00 ,46109,69014,24784,34746,228220,20.20,10.86,30.24,15.22
Wyoming,2009,19874,25362,6513,8588,414569, 4.79 , 1.57 , 6.11 , 2.07 ,609,796,261,348,4362,13.96,5.99,18.25,7.98
Alabama,2008,174444,258646,85009,115517,3540690, 4.92 , 2.40 , 7.30 , 3.26 ,90746,137669,45027,63367,880707,10.30,5.11,15.63,7.19
Alaska,2008,33446,46907,20385,25399,505534, 6.61 , 4.03 , 9.27 , 5.02 ,3147,4456,2205,2705,18047,17.44,12.21,24.69,14.98
Arizona,2008,287895,388373,81858,121447,4792500, 6.00 , 1.70 , 8.10 , 2.53 ,32564,43687,13143,18378,192269,16.93,6.83,22.72,9.55
