State ,Year,SSI_recip
Kentucky,1988,105800
Kentucky,1989,109800
Kentucky,1990,114700
Kentucky,1991,121545
Kentucky,1992,133493
Kentucky,1993,145668
Kentucky,1994,155826
Kentucky,1995,165286
Kentucky,1996,170007
Kentucky,1997,167803
Kentucky,1998,172015
Kentucky,1999,172225
Kentucky,2000,174346
Kentucky,2001,175925
Kentucky,2002,176768
Kentucky,2003,178900
Kentucky,2004,179438
Kentucky,2005,180225
Kentucky,2006,181857
Kentucky,2007,184378
Kentucky,2008,186809
Kentucky,2009,189482
Kentucky,2010,192328
Louisiana,1980,136500
Louisiana,1981,130500
Louisiana,1982,123300
Louisiana,1983,123100
Louisiana,1984,124600
Louisiana,1985,126300
Louisiana,1986,128200
Louisiana,1987,129100
Louisiana,1988,129400
Louisiana,1989,130000
Louisiana,1990,133012
Louisiana,1991,139956
Louisiana,1992,157100
Louisiana,1993,170483
Louisiana,1994,178758
Louisiana,1995,182104
Louisiana,1996,182403
Louisiana,1997,175320
Louisiana,1998,174456
Louisiana,1999,167927
Louisiana,2000,165525
Louisiana,2001,166181
Louisiana,2002,166884
Louisiana,2003,167800
Louisiana,2004,169549
Louisiana,2005,155803
Louisiana,2006,157299
Louisiana,2007,162271
Louisiana,2008,165454
Louisiana,2009,169690
Louisiana,2010,174669
Maine,1980,21600
Maine,1981,20800
Maine,1982,19900
Maine,1983,20700
Maine,1984,21700
Maine,1985,22000
Maine,1986,22500
Maine,1987,22800
Maine,1988,22900
Maine,1989,23100
Maine,1990,23686
Maine,1991,24318
Maine,1992,25757
Maine,1993,27817
Maine,1994,29566
Maine,1995,30841
Maine,1996,27830
Maine,1997,28192
Maine,1998,28883
Maine,1999,29341
Maine,2000,29705
Maine,2001,30138
Maine,2002,30935
Maine,2003,31403
Maine,2004,31641
Maine,2005,31978
Maine,2006,32536
Maine,2007,33328
Maine,2008,33915
Maine,2009,34559
Maine,2010,35486
Maryland,1980,48300
Maryland,1981,47200
Maryland,1982,46000
Maryland,1983,47200
Maryland,1984,49600
Maryland,1985,51400
Maryland,1986,53200
Maryland,1987,55100
Maryland,1988,56400
Maryland,1989,57400
Maryland,1990,59774
Maryland,1991,63324
Maryland,1992,68537
Maryland,1993,73529
Maryland,1994,78558
Maryland,1995,82494
Maryland,1996,84747
Maryland,1997,85117
Maryland,1998,86273
Maryland,1999,86684
Maryland,2000,88073
Maryland,2001,89180
Maryland,2002,89705
Maryland,2003,90962
Maryland,2004,92776
Maryland,2005,94418
Maryland,2006,96248
Maryland,2007,97858
Maryland,2008,100726
Maryland,2009,102930
Maryland,2010,107386
Massachusetts,1980,123600
Massachusetts,1981,112800
Massachusetts,1982,108300
Massachusetts,1983,108400
Massachusetts,1984,110800
Massachusetts,1985,112400
Massachusetts,1986,113000
Massachusetts,1987,113800
Massachusetts,1988,113700
Massachusetts,1989,115200
Massachusetts,1990,119320
Massachusetts,1991,127012
Massachusetts,1992,138361
Massachusetts,1993,148615
Massachusetts,1994,156642
Massachusetts,1995,163528
Massachusetts,1996,165563
Massachusetts,1997,168431
Massachusetts,1998,166532
Massachusetts,1999,167050
Massachusetts,2000,167784
Massachusetts,2001,166874
Massachusetts,2002,167027
Massachusetts,2003,168171
Massachusetts,2004,169205
Massachusetts,2005,171488
Massachusetts,2006,174509
Massachusetts,2007,178856
Massachusetts,2008,182455
Massachusetts,2009,186609
Massachusetts,2010,192998
Michigan,1980,113800
Michigan,1981,111600
Michigan,1982,108100
Michigan,1983,110500
Michigan,1984,117800
Michigan,1985,122400
Michigan,1986,127000
Michigan,1987,129200
Michigan,1988,131900
Michigan,1989,136000
Michigan,1990,143130
Michigan,1991,151271
Michigan,1992,170599
Michigan,1993,192390
Michigan,1994,206585
Michigan,1995,210265
Michigan,1996,213546
Michigan,1997,209059
Michigan,1998,212560
Michigan,1999,210022
Michigan,2000,209608
Michigan,2001,210492
Michigan,2002,213568
Michigan,2003,216727
Michigan,2004,219337
Michigan,2005,222073
Michigan,2006,225160
Michigan,2007,228068
Michigan,2008,232581
Michigan,2009,242983
Michigan,2010,253549
Minnesota,1980,31900
Minnesota,1981,30700
Minnesota,1982,29400
Minnesota,1983,29900
Minnesota,1984,31200
Minnesota,1985,32600
Minnesota,1986,34200
Minnesota,1987,35600
Minnesota,1988,36800
Minnesota,1989,38100
Minnesota,1990,40396
Minnesota,1991,43776
Minnesota,1992,49349
Minnesota,1993,54881
Minnesota,1994,59587
Minnesota,1995,62126
Minnesota,1996,63823
Minnesota,1997,62621
Minnesota,1998,63674
Minnesota,1999,63626
Minnesota,2000,64084
Minnesota,2001,65538
Minnesota,2002,67011
Minnesota,2003,68971
Minnesota,2004,70745
Minnesota,2005,72915
Minnesota,2006,75793
Minnesota,2007,78401
Minnesota,2008,80673
Minnesota,2009,83247
Minnesota,2010,86482
Mississippi,1980,111800
Mississippi,1981,110900
Mississippi,1982,107700
Mississippi,1983,109100
Mississippi,1984,110800
Mississippi,1985,110900
Mississippi,1986,112100
Mississippi,1987,112800
Mississippi,1988,112500
Mississippi,1989,112500
Mississippi,1990,113854
Mississippi,1991,118222
Mississippi,1992,126301
Mississippi,1993,134318
Mississippi,1994,139612
Mississippi,1995,141061
Mississippi,1996,141197
Mississippi,1997,135946
Mississippi,1998,135036
Mississippi,1999,131247
Mississippi,2000,128791
Mississippi,2001,128449
Mississippi,2002,127123
Mississippi,2003,126301
Mississippi,2004,125180
Mississippi,2005,124561
Mississippi,2006,123679
Mississippi,2007,122745
Mississippi,2008,122455
Mississippi,2009,124116
Mississippi,2010,125569
Missouri,1980,84400
Missouri,1981,80500
Missouri,1982,76800
Missouri,1983,77100
Missouri,1984,78100
Missouri,1985,78800
Missouri,1986,80300
Missouri,1987,81100
Missouri,1988,81400
Missouri,1989,82200
Missouri,1990,84978
Missouri,1991,90049
Missouri,1992,98349
Missouri,1993,105042
Missouri,1994,109841
Missouri,1995,113734
Missouri,1996,116446
Missouri,1997,112521
Missouri,1998,111929
Missouri,1999,111003
Missouri,2000,112230
Missouri,2001,113258
Missouri,2002,114127
Missouri,2003,115069
Missouri,2004,116131
Missouri,2005,117613
Missouri,2006,119795
Missouri,2007,121876
Missouri,2008,124449
Missouri,2009,128132
Missouri,2010,133843
Montana,1980,6800
Montana,1981,6700
Montana,1982,6500
Montana,1983,6700
Montana,1984,7100
Montana,1985,7600
Montana,1986,8000
Montana,1987,8500
Montana,1988,8900
Montana,1989,9400
Montana,1990,9958
Montana,1991,10753
Montana,1992,11599
Montana,1993,12406
Montana,1994,13292
Montana,1995,14057
Montana,1996,14213
Montana,1997,13747
Montana,1998,13853
Montana,1999,13697
Montana,2000,13845
Montana,2001,14206
Montana,2002,14220
Montana,2003,14356
Montana,2004,14558
Montana,2005,14784
Montana,2006,15208
Montana,2007,15629
Montana,2008,16033
Montana,2009,16694
Montana,2010,17532
Nebraska,1980,13700
Nebraska,1981,13300
Nebraska,1982,12800
Nebraska,1983,13000
Nebraska,1984,13400
Nebraska,1985,13900
Nebraska,1986,14100
Nebraska,1987,14400
Nebraska,1988,14700
Nebraska,1989,15100
Nebraska,1990,15560
Nebraska,1991,16779
Nebraska,1992,18252
Nebraska,1993,19523
Nebraska,1994,20501
Nebraska,1995,21326
Nebraska,1996,21831
Nebraska,1997,21072
Nebraska,1998,21154
Nebraska,1999,21036
Nebraska,2000,21221
Nebraska,2001,21471
Nebraska,2002,21659
Nebraska,2003,21875
Nebraska,2004,22100
Nebraska,2005,22334
Nebraska,2006,22621
Nebraska,2007,23052
Nebraska,2008,23727
Nebraska,2009,24616
Nebraska,2010,25675
Nevada,1980,6800
Nevada,1981,6700
Nevada,1982,6600
Nevada,1983,6900
Nevada,1984,7500
Nevada,1985,8000
Nevada,1986,8600
Nevada,1987,9100
Nevada,1988,9700
Nevada,1989,10500
Nevada,1990,11334
Nevada,1991,12615
Nevada,1992,14663
Nevada,1993,16789
Nevada,1994,18952
Nevada,1995,20783
Nevada,1996,21902
Nevada,1997,22257
Nevada,1998,23366
Nevada,1999,24303
Nevada,2000,25405
Nevada,2001,27161
Nevada,2002,29154
Nevada,2003,30815
Nevada,2004,32129
Nevada,2005,32977
Nevada,2006,34468
Nevada,2007,35548
Nevada,2008,36679
Nevada,2009,38592
Nevada,2010,41008
New Hampshire,1980,5400
New Hampshire,1981,5300
New Hampshire,1982,5100
New Hampshire,1983,5300
New Hampshire,1984,5900
New Hampshire,1985,6200
New Hampshire,1986,6500
New Hampshire,1987,6500
New Hampshire,1988,6400
New Hampshire,1989,6600
New Hampshire,1990,6870
New Hampshire,1991,7489
New Hampshire,1992,8201
New Hampshire,1993,8980
New Hampshire,1994,9654
New Hampshire,1995,10533
New Hampshire,1996,11040
New Hampshire,1997,11098
New Hampshire,1998,11290
New Hampshire,1999,11404
New Hampshire,2000,11577
New Hampshire,2001,11942
New Hampshire,2002,12316
New Hampshire,2003,12709
New Hampshire,2004,13029
New Hampshire,2005,13636
New Hampshire,2006,14470
New Hampshire,2007,15119
New Hampshire,2008,15811
New Hampshire,2009,16628
New Hampshire,2010,17915
New Jersey,1980,85500
New Jersey,1981,85300
New Jersey,1982,82700
New Jersey,1983,85100
New Jersey,1984,89600
New Jersey,1985,92800
New Jersey,1986,95200
New Jersey,1987,97000
New Jersey,1988,98200
New Jersey,1989,100000
New Jersey,1990,105312
New Jersey,1991,111801
New Jersey,1992,124410
New Jersey,1993,134285
New Jersey,1994,140375
New Jersey,1995,144004
New Jersey,1996,145707
New Jersey,1997,144159
New Jersey,1998,145159
New Jersey,1999,145565
New Jersey,2000,146350
New Jersey,2001,147747
New Jersey,2002,148115
New Jersey,2003,149580
New Jersey,2004,150151
New Jersey,2005,152352
New Jersey,2006,154482
New Jersey,2007,156374
New Jersey,2008,159751
New Jersey,2009,163066
New Jersey,2010,168591
New Mexico,1980,25400
New Mexico,1981,24900
New Mexico,1982,24100
New Mexico,1983,24600
New Mexico,1984,25500
New Mexico,1985,26300
New Mexico,1986,27500
New Mexico,1987,28000
New Mexico,1988,28600
New Mexico,1989,29600
New Mexico,1990,31550
New Mexico,1991,33874
New Mexico,1992,36807
New Mexico,1993,39993
New Mexico,1994,42613
New Mexico,1995,44755
New Mexico,1996,45740
New Mexico,1997,45365
New Mexico,1998,45631
New Mexico,1999,45861
New Mexico,2000,46662
New Mexico,2001,47579
New Mexico,2002,48790
New Mexico,2003,50169
New Mexico,2004,51656
New Mexico,2005,53773
New Mexico,2006,55182
New Mexico,2007,56387
New Mexico,2008,57605
New Mexico,2009,59110
New Mexico,2010,60498
New York,1980,365500
New York,1981,252900
New York,1982,336500
New York,1983,336500
New York,1984,346000
New York,1985,355600
New York,1986,366800
New York,1987,375000
New York,1988,379900
New York,1989,390500
New York,1990,415270
New York,1991,444546
New York,1992,491083
New York,1993,536018
New York,1994,563960
New York,1995,588538
New York,1996,606000
New York,1997,597835
New York,1998,608373
New York,1999,609459
New York,2000,617167
New York,2001,622764
New York,2002,625234
New York,2003,624565
New York,2004,626593
New York,2005,635079
New York,2006,641870
New York,2007,648908
New York,2008,658265
New York,2009,667893
New York,2010,681191
North Carolina,1980,140600
North Carolina,1981,136500
North Carolina,1982,131700
North Carolina,1983,131900
North Carolina,1984,136800
North Carolina,1985,138500
North Carolina,1986,140300
North Carolina,1987,141500
North Carolina,1988,142400
North Carolina,1989,144700
North Carolina,1990,148666
North Carolina,1991,156965
North Carolina,1992,166297
North Carolina,1993,174526
North Carolina,1994,182385
North Carolina,1995,190790
North Carolina,1996,195134
North Carolina,1997,193135
North Carolina,1998,194304
North Carolina,1999,191743
North Carolina,2000,191053
North Carolina,2001,191630
North Carolina,2002,192595
North Carolina,2003,194424
North Carolina,2004,195654
North Carolina,2005,199270
North Carolina,2006,202613
North Carolina,2007,205604
North Carolina,2008,208409
North Carolina,2009,213329
North Carolina,2010,219443
North Dakota,1980,6300
North Dakota,1981,6100
North Dakota,1982,5800
North Dakota,1983,5800
North Dakota,1984,6200
North Dakota,1985,6500
North Dakota,1986,6900
North Dakota,1987,7000
North Dakota,1988,7200
North Dakota,1989,7400
North Dakota,1990,7494
North Dakota,1991,7941
North Dakota,1992,8299
North Dakota,1993,8600
North Dakota,1994,8888
North Dakota,1995,8970
North Dakota,1996,8899
North Dakota,1997,8614
North Dakota,1998,8506
North Dakota,1999,8278
North Dakota,2000,8167
North Dakota,2001,8129
North Dakota,2002,8090
North Dakota,2003,8092
North Dakota,2004,7966
North Dakota,2005,7917
North Dakota,2006,8035
North Dakota,2007,8003
North Dakota,2008,8032
North Dakota,2009,8139
North Dakota,2010,8302
Ohio,1980,119300
Ohio,1981,116600
Ohio,1982,113100
