State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
North Dakota,2010," 23,258 "," 28,737 "," 7,270 "," 8,757 "," 522,720 ", 4.44 , 1.39 , 5.49 , 1.67 , 684 , 982 , 265 , 360 ," 6,302 ", 10.86 , 4.20 , 15.58 , 5.72 
Ohio,2010," 616,567 "," 734,341 "," 239,708 "," 291,420 "," 8,805,753 ", 7.00 , 2.72 , 8.33 , 3.30 ," 250,711 "," 298,656 "," 108,756 "," 132,954 "," 1,048,613 ", 23.90 , 10.37 , 28.48 , 12.67 
Oklahoma,2010," 217,710 "," 269,201 "," 75,051 "," 101,303 "," 2,821,685 ", 7.71 , 2.65 , 9.54 , 3.59 ," 52,203 "," 65,955 "," 21,498 "," 29,436 "," 216,073 ", 24.16 , 9.94 , 30.52 , 13.62 
Oregon,2010," 134,965 "," 198,470 "," 48,742 "," 62,756 "," 2,964,621 ", 4.55 , 1.64 , 6.69 , 2.11 ," 9,501 "," 14,403 "," 5,071 "," 6,406 "," 61,380 ", 15.47 , 8.26 , 23.46 , 10.43 
Pennsylvania,2010," 294,493 "," 499,389 "," 116,125 "," 167,389 "," 9,910,224 ", 2.97 , 1.17 , 5.03 , 1.68 ," 79,399 "," 155,305 "," 41,382 "," 66,190 "," 1,045,246 ", 7.59 , 3.95 , 14.85 , 6.33 
Rhode Island,2010," 51,110 "," 73,297 "," 11,481 "," 14,838 "," 828,611 ", 6.16 , 1.38 , 8.84 , 1.79 ," 11,608 "," 16,441 "," 2,946 "," 3,895 "," 51,527 ", 22.52 , 5.71 , 31.90 , 7.56 
South Carolina,2010," 173,351 "," 225,916 "," 84,177 "," 107,755 "," 3,544,890 ", 4.89 , 2.37 , 6.37 , 3.03 ," 95,176 "," 126,541 "," 49,397 "," 64,459 "," 953,961 ", 9.97 , 5.17 , 13.26 , 6.75 
South Dakota,2010," 43,183 "," 53,735 "," 18,417 "," 21,851 "," 611,383 ", 7.06 , 3.01 , 8.78 , 3.57 , 741 ," 1,150 ", 703 , 909 ," 7,810 ", 9.49 , 9.00 , 14.73 , 11.64 
Tennessee,2010," 272,388 "," 366,395 "," 109,468 "," 136,919 "," 4,850,104 ", 5.61 , 2.25 , 7.55 , 2.82 ," 117,715 "," 156,172 "," 50,804 "," 63,727 "," 771,351 ", 15.26 , 6.58 , 20.24 , 8.26 
Texas,2010," 1,383,430 "," 1,915,917 "," 497,937 "," 671,586 "," 18,279,737 ", 7.56 , 2.72 , 10.48 , 3.67 ," 391,104 "," 544,073 "," 180,007 "," 242,133 "," 2,196,259 ", 17.80 , 8.19 , 24.77 , 11.02 
Utah,2010," 63,466 "," 83,005 "," 27,147 "," 33,954 "," 1,892,858 ", 3.35 , 1.43 , 4.38 , 1.79 ," 2,869 "," 3,932 "," 1,507 "," 1,982 "," 22,683 ", 12.65 , 6.64 , 17.33 , 8.74 
Vermont,2010," 30,581 "," 35,890 "," 14,887 "," 16,966 "," 496,508 ", 6.15 , 2.99 , 7.22 , 3.41 , 711 ," 1,044 ", 472 , 678 ," 5,276 ", 13.48 , 8.95 , 19.80 , 12.86 
Virginia,2010," 347,158 "," 446,686 "," 108,567 "," 145,977 "," 6,147,347 ", 5.64 , 1.76 , 7.26 , 2.37 ," 192,473 "," 245,082 "," 58,372 "," 81,059 "," 1,192,554 ", 16.13 , 4.89 , 20.55 , 6.79 
Washington,2010," 400,888 "," 453,979 "," 100,246 "," 118,481 "," 5,143,186 ", 7.79 , 1.94 , 8.82 , 2.30 ," 56,935 "," 65,536 "," 18,940 "," 22,398 "," 207,299 ", 27.46 , 9.13 , 31.61 , 10.80 
West Virginia,2010," 30,621 "," 46,262 "," 16,185 "," 22,866 "," 1,465,576 ", 2.08 , 1.10 , 3.15 , 1.56 ," 3,340 "," 5,050 "," 2,042 "," 2,901 "," 52,816 ", 6.32 , 3.86 , 9.56 , 5.49 
Wisconsin,2010," 166,573 "," 232,832 "," 65,719 "," 88,443 "," 4,347,494 ", 3.83 , 1.51 , 5.35 , 2.03 ," 47,571 "," 69,823 "," 25,509 "," 35,072 "," 252,719 ", 18.82 , 10.09 , 27.62 , 13.87 
Wyoming,2010," 19,559 "," 25,746 "," 6,245 "," 8,357 "," 428,224 ", 4.56 , 1.45 , 6.01 , 1.95 , 616 , 828 , 268 , 355 ," 4,403 ", 13.99 , 6.10 , 18.81 , 8.07 
Alabama,2009," 175,098 "," 266,893 "," 88,627 "," 120,501 "," 3,582,533 ", 4.88 , 2.47 , 7.44 , 3.36 ," 95,293 "," 145,517 "," 47,091 "," 66,148 "," 890,385 ", 10.70 , 5.28 , 16.34 , 7.42 
Alaska,2009," 35,477 "," 49,455 "," 21,901 "," 27,186 "," 514,961 ", 6.88 , 4.25 , 9.60 , 5.27 ," 3,285 "," 4,676 "," 2,347 "," 2,900 "," 18,755 ", 17.51 , 12.51 , 24.93 , 15.46 
Arizona,2009," 281,618 "," 382,359 "," 78,191 "," 118,818 "," 4,863,914 ", 5.78 , 1.60 , 7.86 , 2.44 ," 31,538 "," 42,977 "," 12,545 "," 17,917 "," 173,634 ", 18.16 , 7.22 , 24.75 , 10.31 
Arkansas,2009," 109,264 "," 174,741 "," 64,896 "," 80,104 "," 2,181,723 ", 5.00 , 2.97 , 8.00 , 3.67 ," 38,644 "," 63,628 "," 25,454 "," 32,391 "," 315,923 ", 12.23 , 8.05 , 20.14 , 10.25 
California,2009," 2,199,797 "," 2,706,300 "," 1,031,107 "," 1,202,382 "," 27,526,562 ", 7.99 , 3.74 , 9.83 , 4.36 ," 605,991 "," 759,480 "," 282,516 "," 332,196 "," 1,668,421 ", 36.32 , 16.93 , 45.52 , 19.91 
Colorado,2009," 197,703 "," 260,730 "," 64,024 "," 86,819 "," 3,796,659 ", 5.20 , 1.68 , 6.86 , 2.28 ," 27,716 "," 37,039 "," 12,190 "," 16,693 "," 139,566 ", 19.85 , 8.73 , 26.53 , 11.96 
Connecticut,2009," 210,098 "," 263,007 "," 54,853 "," 74,569 "," 2,710,935 ", 7.75 , 2.02 , 9.70 , 2.75 ," 69,829 "," 85,485 "," 23,715 "," 29,636 "," 246,048 ", 28.38 , 9.63 , 34.74 , 12.04 
Delaware,2009," 48,377 "," 60,115 "," 14,045 "," 20,839 "," 678,358 ", 7.13 , 2.07 , 8.86 , 3.07 ," 23,021 "," 29,155 "," 7,304 "," 11,302 "," 133,962 ", 17.18 , 5.45 , 21.76 , 8.43 
Florida,2009," 1,789,208 "," 2,075,454 "," 300,955 "," 404,870 "," 14,480,550 ", 12.35 , 2.07 , 14.33 , 2.79 ," 625,569 "," 729,530 "," 142,944 "," 194,395 "," 2,064,528 ", 30.30 , 6.92 , 35.33 , 9.41 
Georgia,2009," 802,816 "," 1,036,676 "," 176,155 "," 229,526 "," 7,246,554 ", 11.07 , 2.43 , 14.30 , 3.16 ," 416,190 "," 539,402 "," 100,228 "," 134,846 "," 2,105,465 ", 19.76 , 4.76 , 25.61 , 6.40 
Hawaii,2009," 49,511 "," 70,382 "," 13,139 "," 19,030 "," 1,004,822 ", 4.92 , 1.30 , 7.00 , 1.89 ," 2,645 "," 3,579 ", 599 , 877 ," 21,892 ", 12.08 , 2.73 , 16.35 , 4.00 
Idaho,2009," 84,346 "," 109,429 "," 25,367 "," 32,767 "," 1,126,894 ", 7.48 , 2.25 , 9.71 , 2.90 ," 1,436 "," 1,927 ", 493 , 679 ," 5,905 ", 24.32 , 8.36 , 32.64 , 11.51 
Illinois,2009," 580,543 "," 735,171 "," 252,421 "," 297,582 "," 9,736,342 ", 5.96 , 2.59 , 7.55 , 3.05 ," 287,281 "," 358,968 "," 162,512 "," 188,818 "," 1,351,518 ", 21.25 , 12.02 , 26.56 , 13.97 
Indiana,2009," 450,163 "," 548,974 "," 114,523 "," 143,331 "," 4,836,956 ", 9.30 , 2.36 , 11.34 , 2.96 ," 133,295 "," 164,921 "," 44,021 "," 54,850 "," 397,945 ", 33.49 , 11.06 , 41.44 , 13.78 
Iowa,2009," 108,221 "," 129,651 "," 43,629 "," 52,442 "," 2,299,738 ", 4.70 , 1.89 , 5.63 , 2.28 ," 12,096 "," 16,117 "," 5,659 "," 7,885 "," 53,528 ", 22.59 , 10.57 , 30.10 , 14.73 
Kansas,2009," 109,558 "," 127,514 "," 43,138 "," 51,779 "," 2,116,539 ", 5.17 , 2.03 , 6.02 , 2.44 ," 28,470 "," 33,925 "," 12,557 "," 15,420 "," 113,759 ", 25.02 , 11.03 , 29.82 , 13.55 
Kentucky,2009," 170,675 "," 236,992 "," 91,706 "," 113,344 "," 3,296,902 ", 5.17 , 2.78 , 7.18 , 3.43 ," 39,412 "," 56,517 "," 23,153 "," 29,242 "," 235,516 ", 16.73 , 9.83 , 23.99 , 12.41 
Louisiana,2009," 234,861 "," 345,784 "," 119,978 "," 159,758 "," 3,369,681 ", 6.96 , 3.56 , 10.26 , 4.74 ," 142,321 "," 210,870 "," 82,171 "," 109,875 "," 1,016,830 ", 13.99 , 8.08 , 20.73 , 10.80 
Maine,2009," 38,635 "," 46,287 "," 9,278 "," 11,484 "," 1,046,742 ", 3.69 , 0.88 , 4.42 , 1.09 , 545 , 878 , 128 , 241 ," 9,556 ", 5.70 , 1.34 , 9.19 , 2.52 
Maryland,2009," 251,893 "," 322,111 "," 94,347 "," 116,602 "," 4,349,056 ", 5.79 , 2.16 , 7.40 , 2.68 ," 149,584 "," 193,658 "," 62,298 "," 78,974 "," 1,228,102 ", 12.18 , 5.07 , 15.76 , 6.43 
Massachusetts,2009," 410,422 "," 523,899 "," 34,044 "," 45,360 "," 5,160,707 ", 7.95 , 0.65 , 10.15 , 0.87 ," 76,006 "," 104,079 "," 8,574 "," 11,730 "," 301,163 ", 25.23 , 2.84 , 34.55 , 3.89 
Michigan,2009," 344,203 "," 474,651 "," 121,184 "," 166,662 "," 7,622,155 ", 4.51 , 1.58 , 6.22 , 2.18 ," 98,120 "," 156,495 "," 57,026 "," 81,224 "," 1,000,938 ", 9.80 , 5.69 , 15.63 , 8.11 
Minnesota,2009," 280,707 "," 341,389 "," 48,478 "," 58,464 "," 4,008,282 ", 7.00 , 1.20 , 8.51 , 1.45 ," 36,031 "," 47,988 "," 12,152 "," 15,683 "," 156,324 ", 23.04 , 7.77 , 30.69 , 10.03 
Mississippi,2009," 120,318 "," 172,672 "," 54,967 "," 76,449 "," 2,187,134 ", 5.50 , 2.51 , 7.89 , 3.49 ," 70,226 "," 102,903 "," 31,652 "," 46,087 "," 762,144 ", 9.21 , 4.15 , 13.50 , 6.04 
Missouri,2009," 296,015 "," 403,418 "," 125,026 "," 155,589 "," 4,557,031 ", 6.49 , 2.74 , 8.85 , 3.41 ," 85,697 "," 120,001 "," 39,020 "," 51,311 "," 476,179 ", 17.99 , 8.19 , 25.20 , 10.77 
Montana,2009," 37,893 "," 52,322 "," 14,030 "," 17,635 "," 753,433 ", 5.02 , 1.86 , 6.94 , 2.34 , 437 , 694 , 201 , 294 ," 3,572 ", 12.23 , 5.64 , 19.44 , 8.24 
Nebraska,2009," 56,796 "," 66,124 "," 17,952 "," 22,426 "," 1,349,320 ", 4.20 , 1.33 , 4.90 , 1.66 ," 9,017 "," 10,865 "," 3,867 "," 5,046 "," 52,142 ", 17.29 , 7.41 , 20.83 , 9.67 
Nevada,2009," 78,578 "," 104,077 "," 42,038 "," 54,520 "," 1,958,047 ", 4.01 , 2.14 , 5.31 , 2.78 ," 21,585 "," 28,604 "," 10,582 "," 14,208 "," 143,324 ", 15.06 , 7.38 , 19.95 , 9.91 
New Hamp,2009," 31,517 "," 39,270 "," 9,764 "," 12,495 "," 1,035,192 ", 3.04 , 0.94 , 3.79 , 1.20 ," 2,376 "," 2,806 ", 637 , 815 ," 10,685 ", 22.24 , 5.96 , 26.26 , 7.63 
New Jersey,2009," 428,420 "," 532,056 "," 134,309 "," 159,691 "," 6,661,599 ", 6.43 , 2.01 , 7.98 , 2.39 ," 217,672 "," 268,376 "," 73,789 "," 89,357 "," 874,189 ", 24.89 , 8.44 , 30.70 , 10.22 
New Mexico,2009," 102,570 "," 131,019 "," 31,352 "," 37,871 "," 1,495,097 ", 6.86 , 2.09 , 8.76 , 2.53 ," 8,700 "," 10,536 "," 3,278 "," 3,830 "," 30,256 ", 28.75 , 10.83 , 34.82 , 12.65 
New York,2009," 461,282 "," 632,650 "," 241,913 "," 300,600 "," 15,118,997 ", 3.05 , 1.60 , 4.18 , 1.98 ," 224,852 "," 296,737 "," 140,016 "," 170,088 "," 2,263,700 ", 9.93 , 6.18 , 13.10 , 7.51 
North Carolina,2009," 329,160 "," 411,924 "," 134,195 "," 174,055 "," 7,107,276 ", 4.63 , 1.88 , 5.79 , 2.44 ," 163,993 "," 205,865 "," 71,271 "," 93,057 "," 1,446,888 ", 11.33 , 4.92 , 14.22 , 6.43 
North Dakota,2009," 22,597 "," 27,608 "," 6,969 "," 8,455 "," 505,115 ", 4.47 , 1.37 , 5.46 , 1.67 , 644 , 904 , 245 , 343 ," 4,700 ", 13.72 , 5.22 , 19.25 , 7.31 
Ohio,2009," 586,045 "," 709,810 "," 235,438 "," 287,044 "," 8,828,466 ", 6.63 , 2.66 , 8.04 , 3.25 ," 241,578 "," 291,017 "," 107,633 "," 132,318 "," 982,964 ", 24.57 , 10.94 , 29.60 , 13.46 
